Playcount,Date
Kansas,1
Gonzaga,1
Baylor,1
Dayton,1
San Diego St.,2
Florida St.,2
Villanova,2
Creighton,2
Duke,3
Michigan St.,3
Seton Hall,3
Maryland,3
Kentucky,4
Oregon,4
Louisville,4
Wisconsin,4
Ohio St.,5
Butler,5
Auburn,5
BYU,5
West Virginia,6
Penn St.,6
Iowa,6
Michigan,6
Virginia,7
Illinois,7
Houston,7
Arizona,7
Colorado,8
Saint Mary's,8
LSU,8
Providence,8
Marquette,9
Florida,9
USC,9
Rutgers,9
Oklahoma,10
Arizona St.,10
Indiana,10
Texas Tech,10
Utah St.,11
Wichita St.,11
East Tennessee St.,11
Richmond,11
Cincinnati,12
Yale,12
Stephen F. Austin,12
Liberty,12
Akron,13
Vermont,13
New Mexico St.,13
North Texas,13
Belmont,14
Bradley,14
Hofstra,14
UC Irvine,14
Eastern Washington,15
North Dakota St.,15
Little Rock,15
Northern Kentucky,15
Winthrop,16
Boston University,16
Robert Morris,16
Prairie View A&M,16
